Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
PDHA1,34.97882609,35.00061475,40.11210232,3.41E-92,5.23E-88,199.8271323
WAC-AS1,24.98992717,25.07526066,33.89703291,1.79E-80,1.37E-76,173.1018854
AC005332.6,18.14278043,18.24674153,33.79816307,2.83E-80,1.45E-76,172.6470396
PDHB,24.96693587,24.87931366,33.27460444,3.26E-79,1.25E-75,170.2217793
LINC01184,3.933956522,3.90870929,33.1516318,5.81E-79,1.78E-75,169.648043
MRPL20-AS1,21.8357,21.64690055,32.56393918,9.41E-78,2.40E-74,166.8843422
DLD,41.33749783,42.26613661,31.97881107,1.56E-76,3.41E-73,164.096431
MAP4K3-DT,2.391295652,2.341427869,31.47178061,1.83E-75,3.50E-72,161.6508612
AC097448.1,15.53158478,15.56580383,31.36359536,3.10E-75,5.27E-72,161.1254292
AL604028.1,9.19641413,9.059817486,31.21958892,6.28E-75,9.61E-72,160.4240318
LIPT1,5.147866304,5.127962842,31.04336053,1.49E-74,2.08E-71,159.5625893
RNF216P1,4.107795652,4.224225683,30.98851989,1.96E-74,2.50E-71,159.2938167
GAS5-AS1,3.715,3.762135519,30.95196067,2.35E-74,2.76E-71,159.1144559
MAPKAPK5-AS1,17.46370978,17.09178087,30.92309114,2.71E-74,2.96E-71,158.9727163
DLST,74.12596196,76.48536175,30.21095287,9.39E-73,9.58E-70,155.4468986
PINK1-AS,2.368296739,2.325799454,30.10727349,1.58E-72,1.51E-69,154.9288196
AC090517.5,0.855938043,0.826630601,29.46868164,4.02E-71,3.62E-68,151.7107906
LIAS,2.708442391,2.696644809,29.15550311,2.00E-70,1.70E-67,150.1154478
AC135050.6,34.87589022,35.32293552,29.10081327,2.65E-70,2.14E-67,149.8356877
NUTM2B-AS1,1.472508696,1.446207104,28.96791559,5.26E-70,4.02E-67,149.1544102
AC018809.2,1.652586957,1.687915301,28.88072402,8.25E-70,6.01E-67,148.7063157
STARD7-AS1,2.856946739,2.935742077,28.83241821,1.06E-69,7.37E-67,148.4576794
NUTM2A-AS1,2.3431,2.367788525,27.99128611,8.59E-68,5.71E-65,144.084094
HCG18,4.129676087,4.255412022,27.96887121,9.66E-68,6.16E-65,143.9663935
LINC01278,5.971157609,5.808574317,27.87445763,1.59E-67,9.74E-65,143.4699676
AC016747.1,8.720201087,8.38453388,27.63323441,5.72E-67,3.37E-64,142.1967543
AC010969.2,4.492792391,4.347269399,27.55136132,8.84E-67,5.01E-64,141.7630217
FAM111A-DT,4.923284783,4.960114208,27.53249152,9.78E-67,5.35E-64,141.6629418
BACE1-AS,2.488086957,2.516877049,27.50140855,1.15E-66,6.09E-64,141.497993
HHLA3,14.90076522,14.21905191,27.41848859,1.80E-66,9.17E-64,141.0573874
AC083799.1,22.16428152,21.88491421,27.37991443,2.21E-66,1.09E-63,140.8521349
TTC28-AS1,2.342029348,2.313735519,27.2301201,4.93E-66,2.36E-63,140.0533688
IQCH-AS1,1.763925,1.780851913,27.22306903,5.12E-66,2.37E-63,140.0157023
